
 При x = 5 и eps = 1e-10 таблица выглядит следующим образом: 
|________i_______|________a_______|________S_______|
|        0       |            1   |            1   |
|        1       |           10   |           11   |
|        2       |         37.5   |         48.5   |
|        3       |       83.333   |       131.83   |
|        4       |       130.21   |       262.04   |
|        5       |       156.25   |       418.29   |
|        6       |       151.91   |        570.2   |
|        7       |       124.01   |       694.21   |
|        8       |       87.193   |        781.4   |
|        9       |       53.823   |       835.23   |
|       10       |       29.603   |       864.83   |
|       11       |       14.679   |       879.51   |
|       12       |       6.6259   |       886.13   |
|       13       |       2.7445   |       888.88   |
|       14       |       1.0502   |       889.93   |
|       15       |       0.3734   |        890.3   |
|       16       |      0.12398   |       890.42   |
|       17       |     0.038609   |       890.46   |
|       18       |     0.011321   |       890.47   |
|       19       |    0.0031359   |       890.48   |
|       20       |   0.00082318   |       890.48   |
|       21       |   0.00020533   |       890.48   |
|       22       |   4.8787e-05   |       890.48   |
|       23       |   1.1067e-05   |       890.48   |
|       24       |   2.4017e-06   |       890.48   |
|       25       |   4.9955e-07   |       890.48   |
|       26       |   9.9762e-08   |       890.48   |
|       27       |   1.9159e-08   |       890.48   |
|       28       |   3.5434e-09   |       890.48   |
|       29       |   6.3199e-10   |       890.48   |
|       30       |   1.0884e-10   |       890.48   |
|       31       |   1.8122e-11   |       890.48   |

 Итогое количество шагов = 31
